CountryCode,Latitude,Longitude,Name,State
US,59.3146795,-155.846606,Igiugig,AK
US,59.801387,-154.8472915,Iliamna,AK
US,55.91580999,-159.4861165,Ivanof Bay,AK
US,58.41713101,-134.1761,Juneau,AK
US,59.67589079,-151.4210814,Kachemak,AK
US,56.965009,-133.9323535,Kake,AK
US,70.13151743,-143.6099013,Kaktovik,AK
US,60.517153,-151.1805943,Kalifornsky,AK
US,64.3249575,-158.742044,Kaltag,AK
US,57.6003025,-154.3723615,Karluk,AK
US,55.5441505,-132.4272935,Kasaan,AK
US,60.8873575,-162.530154,Kasigluk,AK
US,60.329674,-151.2375835,Kasilof,AK
US,60.567081,-151.191227,Kenai,AK
US,61.687744,-144.807554,Kenny Lake,AK
US,55.34634369,-131.6620152,Ketchikan,AK
US,66.96983219,-160.430796,Kiana,AK
US,55.09191904,-162.322034,King Cove,AK
US,58.7806685,-156.537447,King Salmon,AK
US,59.935931,-164.055106,Kipnuk,AK
US,67.71940205,-164.4982155,Kivalina,AK
US,55.55444048,-133.081857,Klawock,AK
US,59.398116,-135.8885075,Klukwan,AK
US,61.4720695,-148.7284855,Knik River,AK
US,61.5002885,-149.531576,Knik-Fairview,AK
US,66.931387,-156.894301,Kobuk,AK
US,57.79312099,-152.403974,Kodiak,AK
US,57.711873,-152.514067,Kodiak Station,AK
US,59.420715,-154.6994245,Kokhanok,AK
US,59.697038,-157.2132595,Koliganek,AK
US,59.95720798,-162.874857,Kongiganak,AK
US,63.03015647,-163.5197399,Kotlik,AK
US,66.86482426,-162.489932,Kotzebue,AK
US,64.92627198,-161.1445705,Koyuk,AK
US,64.89836601,-157.665335,Koyukuk,AK
US,56.817668,-132.9578038,Kupreanof,AK
US,60.797642,-161.4121595,Kwethluk,AK
US,59.87570795,-163.1729965,Kwigillingok,AK
US,62.32808,-146.568876,Lake Louise,AK
US,63.816981,-152.4006355,Lake Minchumina,AK
US,61.606181,-149.3036545,Lakes,AK
US,57.53884149,-154.010966,Larsen Bay,AK
US,61.6477915,-148.9545875,Lazy Mountain,AK
US,59.0637245,-156.883257,Levelock,AK
US,61.321712,-155.262328,Lime Village,AK
US,65.4835305,-148.2135385,Livengood,AK
US,60.0726725,-149.4545935,Lowell Point,AK
US,61.51635752,-160.3564745,Lower Kalskag,AK
US,59.422444,-135.645029,Lutak,AK
US,65.0238485,-150.59794,Manley Hot Springs,AK
US,58.9956695,-159.0028095,Manokotak,AK
US,61.874829,-162.057554,Marshall,AK
US,61.4703895,-142.8391385,McCarthy,AK
US,62.9426275,-155.497875,McGrath,AK
US,63.6175455,-148.6778645,McKinley Park,AK
US,61.6313185,-149.5473855,Meadow Lakes,AK
US,60.37822525,-166.2024165,Mekoryuk,AK
US,62.1571415,-146.239181,Mendeltna,AK
US,62.9844675,-143.340927,Mentasta Lake,AK
US,55.11768639,-131.5666397,Metlakatla,AK
US,55.74182702,-132.2518325,Meyers Chuck,AK
US,59.6685935,-151.4430203,Miller Landing,AK
US,65.1047965,-149.3792455,Minto,AK
US,64.71286151,-147.1732495,Moose Creek,AK
US,60.506424,-149.4591185,Moose Pass,AK
US,59.47106,-136.0176285,Mosquito Lake,AK
US,62.09053,-163.7156725,Mountain Village,AK
US,59.16550018,-135.3779225,Mud Bay,AK
US,58.796303,-156.8814785,Naknek,AK
US,59.33286654,-151.866742,Nanwalek,AK
US,60.68368249,-161.9786255,Napakiak,AK
US,60.7059925,-161.7624485,Napaskiak,AK
US,55.88070099,-133.182456,Naukati Bay,AK
US,62.0028205,-146.7351015,Nelchina,AK
US,55.8605585,-161.5292315,Nelson Lagoon,AK
US,64.53347802,-149.095257,Nenana,AK
US,66.54266852,-152.6131541,New Allakaket,AK
US,59.47547949,-157.251533,New Stuyahok,AK
US,59.732842,-154.886445,Newhalen,AK
US,60.93468547,-164.6363594,Newtok,AK
US,60.4970965,-164.8126535,Nightmute,AK
US,60.715293,-151.1984042,Nikiski,AK
US,59.8291755,-151.544906,Nikolaevsk,AK
US,63.00801399,-154.380779,Nikolai,AK
US,52.99168108,-168.8133686,Nikolski,AK
US,60.0799975,-151.313495,Ninilchik,AK
US,67.570306,-162.976547,Noatak,AK
US,64.52157705,-165.362252,Nome,AK
US,59.968483,-154.8459775,Nondalton,AK
US,66.82870101,-161.033682,Noorvik,AK
US,64.75563949,-147.3682745,North Pole,AK
US,62.946137,-141.7730465,Northway,AK
US,63.013817,-141.760826,Northway Junction,AK
US,62.98198798,-141.910514,Northway Village,AK
US,70.2170015,-150.9686655,Nuiqsut,AK
US,64.717906,-158.075484,Nulato,AK
US,60.8773145,-162.449131,Nunapitchuk,AK
US,57.1990095,-153.292272,Old Harbor,AK
US,60.72469201,-161.7912915,Oscarville,AK
US,57.92268749,-152.4566606,Ouzinkie,AK
US,61.603436,-149.095752,Palmer,AK
US,63.006758,-145.7680705,Paxson,AK
US,59.77836949,-154.103784,Pedro Bay,AK
US,57.95935498,-136.220498,Pelican,AK
US,55.91562247,-159.12632,Perryville,AK
US,56.8030024,-132.9172315,Petersburg,AK
US,62.3207955,-150.594316,Petersville,AK
US,57.562198,-157.6065567,Pilot Point,AK
US,61.93808549,-162.882987,Pilot Station,AK
US,62.03296952,-163.2684701,Pitkas Point,AK
US,59.02981853,-161.7458148,Platinum,AK
US,64.899465,-146.8667045,Pleasant Valley,AK
US,56.34442871,-133.611919,Point Baker,AK
US,68.34802229,-166.648435,Point Hope,AK
US,69.7578545,-162.865209,Point Lay,AK
US,61.3376715,-150.044559,Point MacKenzie,AK
US,59.555017,-154.458048,Pope-Vannoy Landing,AK
US,56.2340475,-134.6502217,Port Alexander,AK
US,60.179989,-154.2695855,Port Alsworth,AK
US,65.0761585,-166.7315075,Port Clarence,AK
US,59.34565149,-151.8480115,Port Graham,AK
US,56.94153538,-158.5980979,Port Heiden,AK
US,57.87301294,-152.860356,Port Lions,AK
US,56.325226,-133.5827577,Port Protection,AK
US,58.8986075,-157.654806,Portage Creek,AK
US,60.3419895,-149.336599,Primrose,AK
US,70.333933,-148.7887689,Prudhoe Bay,AK
US,59.75087466,-161.9033636,Quinhagak,AK
US,65.4012825,-149.9132125,Rampart,AK
US,61.784767,-157.332758,Red Devil,AK
US,68.0718445,-162.890906,Red Dog Mine,AK
US,60.5288785,-151.0229315,Ridgeway,AK
US,64.7272355,-155.5048305,Ruby,AK
US,61.78619299,-161.330324,Russian Mission,AK
US,60.62485151,-151.2996615,Salamatof,AK
US,64.529537,-146.8593205,Salcha,AK
US,55.31795768,-160.493938,Sand Point,AK
US,63.67596129,-170.4891522,Savoonga,AK
US,55.32260904,-131.5894664,Saxman,AK
US,61.84187449,-165.5852175,Scammon Bay,AK
US,66.59727349,-160.011073,Selawik,AK
US,59.43961161,-151.7113404,Seldovia,AK
US,59.44100708,-151.5060775,Seldovia Village,AK
US,60.11917,-149.358498,Seward,AK
US,62.67024249,-159.5550525,Shageluk,AK
US,64.34996958,-161.1845665,Shaktoolik,AK
US,62.510147,-164.9013635,Sheldon Point (Nunam Iqua),AK
US,66.2375165,-166.095996,Shishmaref,AK
US,66.880749,-157.151484,Shungnak,AK
US,62.0188605,-145.3619605,Silver Springs,AK
US,56.7093015,-135.0443375,Sitka,AK
US,59.637142,-135.3743937,Skagway,AK
US,62.0171505,-151.242945,Skwentna,AK
US,62.6280095,-143.4901745,Slana,AK
US,61.657403,-157.015216,Sleetmute,AK
US,60.4878405,-151.033342,Soldotna,AK
US,58.6951105,-156.9400659,South Naknek,AK
US,56.57456,-169.572184,St. George,AK
