Code,CountryCode,Latitude,Longitude,State
99685,US,53.862884,-166.724972,AK
99686,US,61.106071,-147.095531,AK
99687,US,61.58202,-149.441409,AK
99688,US,61.670036,-150.98442,AK
99689,US,59.808135,-139.548734,AK
99690,US,60.708656,-163.100655,AK
99691,US,63.006694,-154.374475,AK
99692,US,53.521062,-167.024481,AK
99693,US,60.77434,-148.685458,AK
99694,US,61.630098,-149.809872,AK
99695,US,61.190224,-149.989886,AK
99697,US,57.800215,-152.397293,AK
99701,US,64.512733,-147.668403,AK
99702,US,64.674824,-147.077979,AK
99703,US,64.830704,-147.629087,AK
99704,US,64.741004,-148.867717,AK
99705,US,64.756206,-147.338273,AK
99706,US,64.81706,-147.879287,AK
99707,US,64.842579,-147.724492,AK
99708,US,64.848897,-147.829345,AK
99709,US,64.946461,-148.256226,AK
99710,US,64.886284,-147.635241,AK
99711,US,64.818225,-147.567743,AK
99712,US,65.138701,-146.926103,AK
99714,US,64.722855,-145.60259,AK
99716,US,64.81706,-147.879287,AK
99720,US,66.547002,-152.739353,AK
99721,US,68.136252,-151.698617,AK
99722,US,68.154517,-145.532283,AK
99723,US,70.20061,-156.411947,AK
99724,US,66.376328,-147.311363,AK
99725,US,64.843833,-148.017742,AK
99726,US,67.407558,-150.750617,AK
99727,US,65.794262,-160.781262,AK
99729,US,63.443624,-148.677951,AK
99730,US,65.285294,-144.440349,AK
99731,US,63.956622,-145.735076,AK
99732,US,64.071916,-141.966669,AK
99733,US,65.82636,-144.076817,AK
99734,US,70.062238,-149.638193,AK
99736,US,65.86506,-163.155108,AK
99737,US,63.791461,-145.489096,AK
99738,US,64.786485,-141.201813,AK
99739,US,64.758129,-162.073651,AK
99740,US,66.444524,-145.839963,AK
99741,US,65.969668,-154.720238,AK
99742,US,63.751227,-171.69519,AK
99743,US,64.0141,-148.563331,AK
99744,US,64.290379,-149.131195,AK
99745,US,65.950251,-154.009406,AK
99746,US,65.698061,-156.312262,AK
99747,US,70.120616,-143.677046,AK
99748,US,64.340435,-158.72081,AK
99749,US,67.58857,-160.43786,AK
99750,US,67.756757,-163.476683,AK
99751,US,67.055657,-155.712742,AK
99752,US,66.74352,-161.455845,AK
99753,US,64.939392,-161.148928,AK
99754,US,64.890184,-157.683159,AK
99755,US,63.636699,-150.847677,AK
99756,US,65.15382,-150.856684,AK
99757,US,63.80059,-152.385396,AK
99758,US,65.011072,-149.651596,AK
99759,US,69.860911,-162.410214,AK
99760,US,64.531075,-149.091683,AK
99761,US,67.329643,-163.00579,AK
99762,US,65.167568,-165.02819,AK
99763,US,66.838514,-159.751852,AK
99764,US,62.944838,-141.945631,AK
99765,US,64.776698,-158.619558,AK
99766,US,68.274918,-166.019381,AK
99767,US,65.444936,-149.809428,AK
99768,US,64.400047,-155.71915,AK
99769,US,63.387419,-170.350036,AK
99770,US,66.296171,-159.568511,AK
99771,US,64.732948,-160.363472,AK
99772,US,66.042601,-165.409913,AK
99773,US,66.683075,-157.294767,AK
99774,US,66.036917,-149.276046,AK
99775,US,64.81706,-147.879287,AK
99776,US,63.355718,-143.362942,AK
99777,US,65.326805,-151.892209,AK
99778,US,65.184859,-166.27117,AK
99780,US,63.92148,-142.249751,AK
99781,US,67.029556,-146.397916,AK
99782,US,70.638306,-159.381609,AK
99783,US,65.65841,-167.149522,AK
99784,US,65.005447,-162.561429,AK
99785,US,65.464429,-166.847982,AK
99786,US,67.763586,-156.813527,AK
99788,US,66.642791,-143.752189,AK
99789,US,70.387886,-150.819665,AK
99790,US,64.816986,-147.879422,AK
99791,US,70.462413,-157.419995,AK
99801,US,58.471565,-134.139897,AK
99802,US,58.299772,-134.416197,AK
99803,US,58.371939,-134.58866,AK
99811,US,58.299712,-134.41634,AK
99812,US,58.298879,-134.407899,AK
99820,US,57.684432,-134.384478,AK
99821,US,58.386618,-134.646801,AK
99824,US,58.273253,-134.399086,AK
99825,US,58.186583,-136.308528,AK
99826,US,58.833074,-136.855874,AK
99827,US,59.133974,-135.504342,AK
99829,US,58.015043,-135.692513,AK
99830,US,56.974453,-133.945517,AK
99832,US,58.107964,-136.135508,AK
99833,US,57.035865,-132.559085,AK
99835,US,56.941251,-135.044678,AK
99836,US,56.244033,-134.642306,AK
